Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,N_SOIL,P_SOIL,K_SOIL,TEMPERATURE,HUMIDITY,ph,RAINFALL,CROP_PRICE
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,75.0,38.0,39.0,23.44676801,84.79352417,6.215109715,283.9338466,2800.0
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,74.0,54.0,38.0,25.65553461,83.47021081,7.120272972,217.3788583,5500.0
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,91.0,36.0,45.0,24.44345477,82.45432595,5.950647577,267.9761948,1300.0
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,71.0,46.0,40.0,20.2801937,82.1235421,7.236705436,191.9535738,500.0
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,99.0,55.0,35.0,21.7238313,80.2389895,6.501697816,277.9626192,1000.0
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,72.0,40.0,38.0,20.41447029,82.20802629,7.592490617,245.1511304,1900.0
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,83.0,58.0,45.0,25.75528612,83.51827127,5.875345751,245.6626799,2000.0
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,93.0,58.0,38.0,20.61521424,83.77345559,6.932400225,279.5451717,4500.0
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,74.0,39.0,38.0,23.24113501,84.59201843,7.782051313,233.0453455,2500.0
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,79.0,43.0,39.0,21.66628296,80.70960551,7.062779015,210.8142087,2300.0
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,88.0,55.0,45.0,24.63544858,80.41363018,7.730367824,253.7202781,5000.0
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,60.0,36.0,43.0,23.43121862,83.06310136,5.286203711,219.9048349,6600.0
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,76.0,60.0,39.0,20.0454142,80.3477562,6.766240045,208.5810155,6200.0
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,93.0,56.0,42.0,23.85724032,82.22572988,7.382762603,195.0948311,1200.0
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,65.0,60.0,43.0,21.97199397,81.89918197,5.658169482,227.3637009,550.0
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,95.0,52.0,36.0,26.22916897,83.83625819,5.543360238,286.5083725,3200.0
Rice,1997,Winter     ,Assam,1743321.0,1647296,2051.4,165911859.6,540429.51,0.941304348,97.0,36.0,45.0,22.2286982,81.85872947,6.939083505,278.0791793,3900.0
Rice,1997,Winter     ,Assam,1743321.0,1647296,2051.4,165911859.6,540429.51,0.941304348,67.0,47.0,44.0,26.73072391,81.78596776,7.868474653,280.4044392,1800.0
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,64.0,45.0,43.0,25.62980105,83.52842314,5.534878156,209.9001977,4400.0
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,83.0,60.0,36.0,25.59704938,80.14509262,6.903985986,200.834898,6400.0
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,82.0,40.0,40.0,23.83067496,84.81360127,6.271478838,298.5601175,2800.0
